Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
20191362H0216,2,5,2,1,20,4,3,0,0,1,0,0,9,1,3
20191362H0216,2,6,2,1,19,4,2,0,0,2,0,0,9,1,1
20191362H0442,2,1,1,2,49,8,2,0,0,0,0,0,1,1,1
20191362H1335,2,1,1,1,25,5,3,0,0,0,0,0,9,-1,7
20191362I0808,2,1,1,1,41,7,2,0,0,0,0,0,5,1,1
20191362I1757,1,1,1,2,33,6,3,0,0,0,0,0,9,1,2
20191362I1757,1,2,2,1,27,6,3,0,0,1,0,0,9,1,2
20191362I1757,1,3,2,1,4,1,3,0,0,2,0,0,9,1,2
20191362I1757,2,4,1,1,19,4,3,0,0,0,0,0,9,1,8
20191362I1757,2,5,2,1,21,5,3,0,0,1,0,0,9,1,3
20191362I1757,2,6,2,1,15,3,3,0,0,2,0,0,9,1,8
20191362I1860,2,1,1,1,31,6,3,0,0,0,0,0,9,1,4
20191362J0850,2,1,1,1,36,7,3,0,0,0,0,0,9,-1,-1
20191362J1338,2,1,1,2,37,7,3,0,0,0,0,0,9,1,1
20191362J1385,2,1,1,2,55,8,3,0,0,0,0,0,9,1,3
20191362J1499,1,1,3,2,7,2,3,5,4,0,0,0,0,1,1
20191362J1560,1,1,1,1,59,9,3,0,0,0,0,0,1,1,1
20191362K0408,2,1,1,1,31,6,3,0,0,0,0,0,9,1,6
20191362K0768,1,1,3,2,12,3,3,5,3,0,0,0,0,-1,-1
20191362K0868,1,1,3,2,52,8,2,5,1,0,0,0,0,-1,-1
20191362K1100,1,1,3,2,51,8,2,10,9,0,0,0,0,1,1
20191362L1633,2,1,1,2,62,9,3,0,0,0,0,0,9,3,9
20191362M0779,1,1,3,1,73,10,3,10,9,0,0,0,0,1,3
20191362M1177,1,1,3,1,15,3,3,5,1,0,0,0,0,1,3
20191362M1495,1,1,2,1,25,5,2,0,0,0,0,0,3,1,1
20191362N1705,1,1,1,2,19,4,3,0,0,0,0,0,9,1,1
20191362N1705,1,2,2,2,40,7,3,0,0,1,0,0,9,1,1
20191362O0485,2,1,1,1,50,8,3,0,0,0,0,0,1,1,3
20191362O1829,2,1,1,1,68,10,3,0,0,0,0,0,9,1,8
20191362P0747,1,1,3,1,29,6,3,1,9,0,0,0,0,1,4
20191362P1000,1,1,3,2,65,9,2,5,1,0,0,0,0,1,1
20191362P1823,1,1,1,1,19,4,2,0,0,0,0,0,1,2,4
20191362Q0571,1,1,3,2,23,5,3,5,9,0,0,0,0,1,1
20191362Q1330,1,1,3,1,25,5,3,4,2,0,0,0,0,1,3
20191362R0445,2,1,1,1,31,6,3,0,0,0,0,0,9,1,2
20191362R1526,1,1,1,1,30,6,3,0,0,0,0,0,9,1,2
20191362R1803,1,1,1,1,27,6,3,0,0,0,0,0,4,1,1
20191362S1988,2,1,1,1,25,5,3,0,0,0,0,0,9,1,1
20191362S1988,2,2,2,1,23,5,3,0,0,1,0,0,9,1,1
20191362S1988,2,3,2,1,22,5,3,0,0,2,0,0,9,1,2
2019136310287,1,1,3,1,12,3,3,1,3,0,0,0,0,1,1
2019136321383,1,1,2,1,5,1,3,0,0,2,0,0,9,1,1
2019136330009,1,1,2,1,58,9,3,0,0,1,0,0,9,1,1
2019136340320,1,1,1,2,36,7,3,0,0,0,0,0,9,1,5
2019136340425,1,1,3,2,55,8,3,1,1,0,0,0,0,1,1
2019136341295,1,1,2,1,26,6,3,0,0,1,0,0,9,-1,-1
2019136350321,2,1,1,1,34,6,2,0,0,0,0,0,1,1,9
2019136351636,1,1,3,1,34,6,2,5,3,0,0,0,0,1,3
2019136351636,1,2,3,1,67,10,3,5,3,0,0,0,0,1,5
2019136351746,1,1,1,1,22,5,3,0,0,0,0,0,4,1,3
2019136351813,1,1,1,1,21,5,3,0,0,0,0,0,9,1,1
2019136351813,1,2,2,1,42,7,3,0,0,1,0,0,9,1,1
2019136360590,1,1,3,1,11,3,3,5,9,0,0,0,0,1,10
2019136360654,3,1,1,2,22,5,3,0,0,0,0,0,9,1,5
2019136361122,1,1,2,2,15,3,3,0,0,1,0,0,9,1,2
2019136361786,1,1,2,1,20,4,2,0,0,1,0,0,9,1,1
2019136381026,1,1,3,2,16,4,3,1,1,0,0,0,0,1,1
2019136381491,1,1,3,1,11,3,3,5,4,0,0,0,0,1,1
2019136381925,2,1,1,1,49,8,3,0,0,0,0,0,9,1,1
