,Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,Vehicle_IMD_Decile
75384,20191362J0850,2,9,0,3,0,1,0,0,0,0,2,1,6,1,36,7,1968,2,3,-1,-1,-1
75387,20191362J1338,1,9,0,18,0,8,0,0,0,0,3,1,6,2,25,5,-1,-1,-1,1,1,1
75388,20191362J1338,2,9,0,18,0,8,0,0,0,0,1,1,6,2,37,7,1968,2,8,1,1,1
75389,20191362J1385,1,9,0,18,0,1,0,0,0,0,4,1,6,1,30,6,1995,2,7,2,1,2
75390,20191362J1385,2,9,0,12,0,1,0,0,0,0,3,1,6,2,55,8,999,1,1,3,1,3
75393,20191362J1499,1,9,0,18,0,0,0,0,0,0,1,1,6,2,29,6,1296,1,12,3,1,3
75398,20191362J1560,1,1,0,7,0,1,0,0,0,0,1,1,6,1,59,9,-1,-1,-1,1,1,1
75399,20191362J1560,2,9,0,18,0,1,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
75404,20191362K0408,1,9,0,18,0,0,0,0,0,0,1,1,6,1,25,5,1329,1,4,1,1,1
75405,20191362K0408,2,9,0,18,0,0,0,0,0,0,1,1,6,1,31,6,1199,2,6,6,1,6
75407,20191362K0768,1,9,0,18,0,0,0,0,0,0,1,1,6,1,26,6,1781,1,17,1,1,1
75408,20191362K0868,1,9,0,9,0,8,0,0,0,0,1,1,6,2,35,6,2204,2,13,1,1,1
75409,20191362K1100,1,9,0,18,0,0,0,0,0,0,4,1,6,2,29,6,-1,-1,-1,-1,-1,-1
75429,20191362L1633,1,9,0,18,0,8,0,0,0,0,1,1,6,1,-1,-1,1968,2,2,-1,-1,-1
75430,20191362L1633,2,9,0,3,0,8,0,0,0,0,2,1,6,2,62,9,1997,2,16,9,3,9
75435,20191362M0779,1,9,0,5,0,8,0,0,0,0,1,1,6,1,39,7,1796,1,13,5,1,5
75436,20191362M1177,1,11,0,18,0,8,0,0,0,0,1,1,1,1,47,8,4249,2,2,7,1,7
75447,20191362M1495,1,3,0,18,0,0,0,0,0,0,1,1,6,1,25,5,125,1,3,1,1,1
75448,20191362M1495,2,9,0,18,0,0,0,0,0,0,2,1,6,2,27,6,1956,2,8,3,1,3
75460,20191362N1705,1,9,0,18,0,8,0,0,0,0,1,1,6,2,19,4,1399,1,10,1,1,1
75461,20191362N1705,2,9,0,18,0,8,0,4,0,0,3,1,2,1,38,7,2143,2,1,5,1,5
75462,20191362N1705,3,9,0,2,0,2,0,0,0,0,2,1,6,3,-1,-1,1299,1,17,-1,-1,-1
