,Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
41363,2019136230845,418019.0,434973.0,-1.7278419999999999,53.810752,13,1,3,4,03/02/2019,1,12:50,200,E08000032,3,658,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01010828
41364,2019136231041,413715.0,432076.0,-1.7933299999999999,53.78484399999999,13,3,1,2,03/02/2019,1,13:00,200,E08000032,6,0,6,30,0,-1,-1,0,0,8,1,1,1,0,0,1,2,E01010659
41379,2019136241610,414281.0,433680.0,-1.7846669999999998,53.79924499999999,13,3,3,1,04/02/2019,2,19:08,200,E08000032,4,6145,6,30,3,2,3,6177,0,4,4,1,1,0,0,1,1,E01010813
41385,2019136251200,417472.0,432042.0,-1.736313,53.784427,13,3,1,1,05/02/2019,3,16:28,200,E08000032,6,0,6,20,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01010734
41392,2019136260259,401343.0,433123.0,-1.981096,53.794430000000006,13,3,1,1,06/02/2019,4,07:15,200,E08000032,3,6033,6,60,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01010857
41396,2019136260939,408489.0,434673.0,-1.872575,53.808296,13,3,2,1,06/02/2019,4,14:00,200,E08000032,6,0,6,60,3,4,6,0,0,0,1,1,1,0,0,2,1,E01010590
41398,2019136261374,406040.0,441185.0,-1.9096389999999999,53.86685799999999,13,2,1,2,06/02/2019,4,17:20,200,E08000032,3,629,6,30,0,-1,-1,0,0,4,4,1,2,0,0,1,1,E01010710
41400,2019136261720,410387.0,442369.0,-1.843496,53.87743199999999,13,3,1,1,06/02/2019,4,19:48,200,E08000032,6,0,6,40,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01010706
41407,2019136270933,415057.0,438047.0,-1.772673,53.838474,13,3,2,1,06/02/2019,4,17:50,200,E08000032,3,6038,6,30,3,4,6,0,0,0,7,1,1,0,0,1,2,E01010571
41409,2019136271098,417334.0,435681.0,-1.738205,53.817138,13,3,1,1,07/02/2019,5,15:10,200,E08000032,6,0,6,20,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01010598
